sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
4,553,1,620,1,0.987,1,620,500,1,0.867,0.7627025419506939,FALSE,0.5531660305968816
4,576,2,420,1,1.006,1,500,420,1,0.926,0.7650755165311869,FALSE,0.5531660317864793
4,360,1,300,2,1.027,2,300,500,1,1.027,0.767424761365875,FALSE,0.5531660329524039
4,124,1,500,1,1.033,3,500,500,0,1.033,NA,empty,NA
4,232,1,380,1,1.073,2,380,500,0,1.073,0.75975051375221625,FALSE,0.5531660352151091
4,296,2,340,1,1.135,1,500,340,1,0.975,0.762153008614694,FALSE,0.5531660363128039
4,504,1,420,1,1.138,2,420,500,0,1.138,0.7545314785285471,FALSE,0.5531660373886547
4,11,2,500,1,1.217,3,500,500,0,1.217,NA,empty,NA
4,57,2,340,1,1.256,1,500,340,1,1.096,0.7569861637432616,FALSE,0.5531660394765536
4,328,2,420,2,1.439,1,500,420,0,1.359,0.7494163021058289,FALSE,0.5531660404894456
4,55,2,300,1,1.797,1,500,300,1,1.597,0.7519221390847706,FALSE,0.5531660414821811
5,129,1,620,1,0.232,1,620,500,1,0.11200000000000002,0.505,TRUE,0.5075
5,587,2,540,1,0.234,2,500,540,0,0.234,0.49995,TRUE,0.5105537019571333
5,603,2,660,1,0.235,2,500,660,0,0.235,0.4949505,TRUE,0.5128613432643134
5,448,1,620,1,0.245,1,620,500,1,0.125,0.500000995,TRUE,0.5147774290377692
5,602,1,660,1,0.246,1,660,500,1,0.086,0.5050009850499999,TRUE,0.5164400972633338
5,251,1,300,2,0.251,2,300,500,1,0.251,0.5099509751994998,TRUE,0.5179206107526256
5,427,1,660,1,0.268,1,660,500,1,0.10800000000000001,0.5148514654475048,TRUE,0.5192615533844276
5,296,2,460,1,0.282,1,500,460,1,0.24199999999999997,0.5197029507930297,TRUE,0.520490836750836
5,630,1,500,2,0.283,3,500,500,0,0.283,NA,empty,NA
5,644,1,420,2,0.283,2,420,500,1,0.283,0.5245059212850994,FALSE,0.5226872274519181
5,552,1,540,1,0.285,1,540,500,1,0.24499999999999997,0.5292608620722484,FALSE,0.5236794753889293
5,594,2,660,1,0.285,2,500,660,0,0.285,0.523968253451526,TRUE,0.5246131931158166
5,641,1,500,1,0.287,3,500,500,0,0.287,NA,empty,NA
5,422,1,300,2,0.29,2,300,500,1,0.29,0.5287285709170108,FALSE,0.5263309437303039
5,432,2,700,1,0.291,2,500,700,0,0.291,0.5234412852078406,TRUE,0.5271251093570815
5,229,1,700,1,0.298,1,700,500,1,0.09799999999999998,0.5282068723557622,FALSE,0.5278815297936953
5,605,1,700,1,0.298,1,700,500,1,0.09799999999999998,0.5329248036322046,FALSE,0.5286034936246318
5,604,1,300,2,0.3,2,300,500,1,0.3,0.5375955555958826,FALSE,0.5292938298378416
5,446,1,700,1,0.301,1,700,500,1,0.10099999999999998,0.5422196000399238,FALSE,0.5299549947435099
5,627,1,660,1,0.301,1,660,500,1,0.141,0.5467974040395245,FALSE,0.5305891386942005
5,618,1,700,1,0.305,1,700,500,1,0.10499999999999998,0.5513294299991293,FALSE,0.5311981580782037
5,126,1,620,1,0.308,1,620,500,1,0.188,0.555816135699138,FALSE,0.5317837363856089
5,127,1,620,1,0.308,1,620,500,1,0.188,0.5602579743421466,FALSE,0.5323473770381332
5,443,2,620,2,0.312,2,500,620,1,0.312,0.5646553945987252,FALSE,0.5328904299227347
5,190,2,500,1,0.314,3,500,500,0,0.314,NA,empty,NA
5,633,1,380,2,0.315,2,380,500,1,0.315,0.5690088406527379,FALSE,0.5339195303948451
5,287,1,700,1,0.316,1,700,500,1,0.11599999999999999,0.5733187522462105,FALSE,0.5344076867112117
5,155,2,700,1,0.32,2,500,700,0,0.32,0.5675855647237484,FALSE,0.5348794999335003
5,187,2,580,1,0.32,2,500,580,0,0.32,0.5619097090765109,FALSE,0.5353358116257485
5,652,1,460,1,0.32,2,460,500,0,0.32,0.5562906119857458,FALSE,0.535777395846312
5,562,1,380,1,0.322,2,380,500,0,0.322,0.5507277058658884,FALSE,0.5362049667128446
5,369,2,500,2,0.326,3,500,500,0,0.326,NA,empty,NA
5,474,2,660,2,0.327,2,500,660,1,0.327,0.5552204288072294,FALSE,0.5370206632135271
5,418,1,300,2,0.329,2,300,500,1,0.329,0.5596682245191571,FALSE,0.5374099714999155
