sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
6,564,2,540,2,401,2,500,540,1,0.8489413282289131,FALSE,0.5531206435280795
6,306,2,440,1,402,1,500,440,1,0.850451914946624,FALSE,0.5531215482995124
6,474,2,440,1,402,1,500,440,1,0.8519473957971577,FALSE,0.5531224350510409
6,518,2,580,2,402,2,500,580,1,0.8534279218391861,FALSE,0.5531233041418508
6,408,2,560,2,404,2,500,560,1,0.8548936426207943,FALSE,0.5531241559239574
6,448,2,480,2,404,1,500,480,0,0.8463447061945863,FALSE,0.5531249907423478
6,130,2,460,2,405,1,500,460,0,0.8378812591326404,FALSE,0.553125808935123
6,347,2,540,2,405,2,500,540,1,0.839502446541314,FALSE,0.5531266108336347
6,239,2,520,2,406,2,500,520,1,0.8411074220759008,FALSE,0.5531273967626211
6,486,2,500,2,406,3,500,500,0,NA,empty,NA
6,391,2,480,1,407,1,500,480,1,0.8426963478551418,FALSE,0.5531289219786941
6,71,2,400,1,408,1,500,400,1,0.8442693843765904,FALSE,0.5531296618833667
6,206,2,600,2,408,2,500,600,1,0.8458266905328244,FALSE,0.5531303870539377
6,419,2,480,2,408,1,500,480,0,0.8373684236274962,FALSE,0.5531310977840103
6,503,2,540,2,408,2,500,540,1,0.8389947393912213,FALSE,0.553131794361329
6,5,2,600,1,409,2,500,600,0,0.8306047919973091,FALSE,0.5531324770678976
6,153,2,480,2,409,1,500,480,0,0.8222987440773359,FALSE,0.5531331461800935
6,657,2,540,2,409,2,500,540,1,0.8240757566365626,FALSE,0.5531338019687805
6,421,2,440,1,411,1,500,440,1,0.825834999070197,FALSE,0.5531344446994189
6,627,2,600,2,411,2,500,600,1,0.827576649079495,FALSE,0.5531350746321734
6,628,2,540,2,411,2,500,540,1,0.8293008825887,FALSE,0.5531356920220196
6,331,2,540,2,412,2,500,540,1,0.831007873762813,FALSE,0.5531362971188472
6,315,2,520,2,413,2,500,520,1,0.8326977950251849,FALSE,0.5531368901675616
6,487,2,500,2,413,3,500,500,0,NA,empty,NA
6,488,2,460,1,413,1,500,460,1,0.8343708170749331,FALSE,0.553138041075949
6,42,2,520,1,415,2,500,520,0,0.8260271089041837,FALSE,0.5531385994013993
